trialnr	left_ang	right_ang	cue_dir	targ	targ_ang	resp_ang	perc_diff	resp_onset	resp_duration	iti	iti_onset	stim_onset	delay_onset	cue_onset	postcue_onset	probe_onset	prac
96	105	133	-1	0	105	114	90.0	633.128218723	833.072150413	1314	1350816.77451	1352199.65362	1353266.00982	1354332.33523	1354898.81752	1355948.49956	0
97	174	33	0	0	174	156	80.0	349.878274293	2299.26665466	1474	1359830.61682	1361363.4461	1362413.12315	1363462.77645	1364012.62769	1365078.95808	0
98	163	121	0	0	163	158	94.0	399.874374143	2732.45739307	1546	1370127.34632	1371726.82446	1372793.15808	1373842.80288	1374392.65147	1375425.6611	0
99	90	169	1	1	169	159	89.0	283.25404985	2582.52803562	1538	1380940.59457	1382556.74776	1383623.0629	1384689.38596	1385222.57858	1386272.21575	0
100	132	73	1	1	73	71	98.0	283.244666033	683.119626664	1586	1406999.00033	1408648.49833	1409698.15485	1410747.81665	1411297.64179	1412347.31385	0
101	78	96	-1	1	96	105	90.0	816.369835015	533.181178643	1494	1415746.24134	1417295.75652	1418345.41774	1419411.74138	1419961.56887	1421011.25589	0
102	103	160	-1	0	103	113	89.0	666.474493905	833.072150413	1554	1424793.3959	1426409.54059	1427459.20004	1428508.84953	1429058.70809	1430125.00887	0
103	61	108	-1	1	108	109	99.0	633.141121472	649.784494766	1542	1433990.4766	1435589.98465	1436639.65408	1437705.96629	1438255.79905	1439305.44561	0
104	18	129	-1	1	129	113	82.0	583.13065265	833.068338237	1242	1443070.94518	1444387.19713	1445436.84808	1446486.51076	1447036.35525	1448086.02849	0
105	64	21	0	0	64	64	100.0	266.5672764	916.382561818	1570	1451918.13939	1453550.93448	1454600.60977	1455650.28477	1456200.10492	1457266.45232	0
106	1	87	1	1	87	80	92.0	283.217980802	383.233346803	1562	1460981.93175	1462614.75324	1463664.41299	1464714.08212	1465263.9184	1466330.24703	0
107	159	46	1	1	46	65	79.0	299.898889366	883.054174538	1250	1469429.26449	1470745.51468	1471795.18264	1472844.82274	1473394.67574	1474444.34868	0
108	4	135	1	1	135	122	86.0	233.257656755	1132.97866413	1526	1477893.27491	1479476.061	1480525.7621	1481575.40806	1482141.92437	1483208.22984	0
109	36	58	-1	1	58	70	87.0	1166.27450129	716.433938218	1506	1487490.23614	1489056.36976	1490106.07409	1491155.69777	1491722.2129	1492771.88614	0
110	30	82	-1	1	82	71	88.0	733.087575063	1549.49377237	1710	1504518.16033	1506284.24815	1507333.94045	1508383.59756	1508950.09569	1509999.76922	0
111	162	130	0	0	162	138	73.0	466.513260801	1699.46183807	1282	1514781.56438	1516131.16495	1517180.81854	1518247.12694	1518830.30539	1519896.63021	0
112	126	124	1	1	124	123	99.0	299.889505549	1499.52289153	1286	1524428.52874	1525778.08063	1526844.43859	1527894.07107	1528443.93961	1529476.9422	0
113	118	72	-1	1	72	68	96.0	666.48035879	783.072238387	1422	1533625.63817	1535108.4696	1536158.166	1537207.80757	1537757.63124	1538807.2951	0
114	141	34	1	1	34	51	81.0	316.54490186	1416.20514902	1310	1542706.0962	1544088.98058	1545155.31743	1546221.61732	1546771.46475	1547821.13593	0
115	108	102	0	0	108	114	93.0	633.10006727	1532.86652751	1594	1551986.47352	1553652.61489	1554718.95936	1555768.58274	1556318.44659	1557384.77992	0
116	94	3	0	0	94	102	91.0	299.890092038	716.477631619	1258	1561983.31147	1563299.5467	1564349.23842	1565398.89406	1565948.7148	1566981.72736	0
117	124	76	1	1	76	72	96.0	316.534931554	1332.93432559	1430	1570930.48321	1572446.6744	1573513.00363	1574562.6534	1575145.82364	1576195.49688	0
118	117	67	0	0	117	109	91.0	316.554285678	649.786254232	1558	1580527.45764	1582160.25068	1583209.94239	1584259.58396	1584809.41555	1585859.10403	0
119	21	109	1	1	109	113	96.0	299.896250168	766.43971513	1370	1589174.70967	1590624.26198	1591673.92994	1592723.57297	1593273.42831	1594323.07897	0
